sequence,locale,year_month,between_lease_and_lease_deposit_ratio,lease_to_sale_ratio,monthly_rent_rate_of_return,average_lease_on_deposit_price,average_lease_on_deposit_price_per_unit,midian_lease_on_deposit_price,midian_lease_on_deposit_price_per_unit,average_monthly_rent_deposit,average_monthly_rent_price,midian_average_monthly_rent_deposit,midian_average_monthly_rent_price,average_sale_price,average_price_per_unit,midian_average_sale_price,midian_average_price_per_unit
466,seoul-northwestern,2022-10,6.66,85.59,4.58,192109,6538,186120,6380,11973,781,11474,724,236311,7590,210449,7222
467,seoul-southwestern,2022-10,7.87,87.12,4.26,200530,6120,190554,6098,20516,702,13675,677,248285,7071,229127,7149
468,seoul-southeastern,2022-10,5.7,80.18,3.95,249557,6954,235251,6914,14932,944,12859,912,324586,8783,300441,8400
469,busan,2022-10,10.58,80.05,5.38,121150,2702,120217,2669,11823,539,9058,523,167930,3484,157225,3313
470,daegu,2022-10,8.14,84.9,5.21,111901,2951,109460,2862,8629,507,7107,503,132405,3464,126373,3360
471,incheon,2022-10,8.2,86.83,5.17,134492,2828,131891,2603,11283,563,11513,553,156237,3237,151000,3008
472,gwangju,2022-10,7.32,83.69,6.26,80412,1963,82639,1968,6441,420,5585,427,97939,2342,93466,2227
473,daejeon,2022-10,10.43,86.11,6.95,94344,1971,88807,1893,10061,464,9574,469,116233,2318,105841,2166
474,ulsan,2022-10,8.05,83.65,4.36,129768,2667,128676,2681,10824,480,8705,483,157363,3179,156464,3250
475,sejong,2022-10,4.59,92.81,5.4,90435,3364,87148,3395,4198,416,4198,412,97785,3625,94062,3649
476,gyeonggi,2022-10,7.17,86.92,4.85,178368,4346,162359,4137,13068,699,9659,668,221119,5075,187592,4762
477,nationwide,2022-11,7.72,84.92,4.82,172162,4559,163003,4422,13482,683,10845,659,215808,5434,196112,5198
478,metropolitan,2022-11,7.21,85.64,4.65,186141,5030,175023,4868,14150,724,11408,696,231278,5958,209024,5697
479,province,2022-11,9.82,81.93,5.53,114387,2613,113324,2579,10722,515,8517,506,151871,3266,142747,3134
480,seoul,2022-11,6.92,84.21,4.32,208785,6286,199461,6189,15922,793,12877,763,263095,7541,245022,7309
481,seoul-downtown,2022-11,5.91,81.3,4.23,247335,6688,238585,6344,13934,971,13701,928,322297,8382,317702,7939
482,seoul-northeastern,2022-11,7.69,85.06,4.97,143164,4992,141145,4812,11194,625,11526,622,170133,5836,165116,5465
483,seoul-northwestern,2022-11,6.67,85.6,4.58,191833,6528,186107,6380,11973,781,11474,724,235752,7575,210449,7184
484,seoul-southwestern,2022-11,7.87,87.1,4.27,200024,6105,190037,6083,20283,703,13675,678,247762,7056,228688,7122
485,seoul-southeastern,2022-11,5.71,80.17,3.96,248988,6939,234965,6893,14932,944,12859,912,324014,8766,299460,8348
486,busan,2022-11,10.63,80.21,5.43,120629,2689,120078,2657,11825,540,9058,526,167097,3462,156105,3301
487,daegu,2022-11,8.16,84.92,5.22,111518,2944,109088,2858,8629,507,7107,503,131973,3454,126220,3347
488,incheon,2022-11,8.24,86.77,5.18,133891,2815,131599,2598,11287,563,11513,553,155735,3225,150714,2997
489,gwangju,2022-11,7.34,83.66,6.27,80236,1959,82582,1967,6434,420,5585,427,97741,2338,93385,2227
490,daejeon,2022-11,10.47,86.01,6.97,93933,1963,88159,1890,10061,463,9574,469,115866,2312,105611,2163
491,ulsan,2022-11,8.08,83.68,4.37,129556,2663,128581,2675,10845,480,8705,482,157089,3173,155694,3249
492,sejong,2022-11,4.59,92.8,5.4,90428,3364,87148,3395,4198,415,4198,412,97785,3625,94062,3649
493,gyeonggi,2022-11,7.18,86.93,4.86,177827,4333,161561,4113,13075,700,9659,666,220330,5059,187238,4752
494,nationwide,2022-12,7.75,84.89,4.84,171438,4542,162351,4409,13496,683,10844,658,214995,5415,195266,5177
495,metropolitan,2022-12,7.25,85.59,4.67,185381,5011,174347,4857,14171,724,11408,695,230480,5939,208331,5676
496,province,2022-12,9.85,82,5.56,113812,2602,112769,2556,10707,515,8513,507,150998,3250,141270,3115
497,seoul,2022-12,6.95,84.18,4.33,208256,6269,198818,6183,15925,792,12877,763,262529,7523,244615,7292
498,seoul-downtown,2022-12,5.98,81.24,4.24,246783,6673,238131,6341,13996,972,13701,928,321735,8368,317267,7939
499,seoul-northeastern,2022-12,7.72,85.14,5,142606,4972,140658,4796,11194,625,11526,622,169436,5808,165122,5419
500,seoul-northwestern,2022-12,6.66,85.65,4.59,191787,6529,186093,6374,11948,782,11474,724,235470,7568,210449,7233
501,seoul-southwestern,2022-12,7.89,87.05,4.28,199411,6087,188964,6078,20283,703,13675,678,247154,7039,228593,7076
502,seoul-southeastern,2022-12,5.73,80.11,3.97,248371,6920,234467,6888,14932,944,12859,912,323439,8748,298239,8347
503,busan,2022-12,10.66,80.33,5.47,119974,2677,119490,2626,11806,540,9058,527,166004,3443,154159,3276
504,daegu,2022-12,8.19,84.92,5.24,110957,2931,108973,2854,8629,506,7107,503,131362,3439,125335,3332
505,incheon,2022-12,8.29,86.61,5.2,132947,2793,130532,2563,11295,561,11513,548,155033,3208,149924,2983
506,gwangju,2022-12,7.26,83.64,6.28,79983,1953,81539,1951,6391,420,5528,426,97407,2331,92941,2223
507,daejeon,2022-12,10.53,85.91,6.99,93291,1948,87359,1879,10061,462,9574,468,115258,2299,104962,2153
508,ulsan,2022-12,8.11,83.73,4.39,129327,2658,128486,2673,10856,480,8705,482,156787,3167,155256,3249
509,sejong,2022-12,4.6,92.76,5.4,90385,3362,86676,3395,4198,415,4198,412,97778,3625,94062,3648
510,gyeonggi,2022-12,7.24,86.87,4.88,176860,4313,160983,4106,13122,699,9659,666,219228,5038,186247,4723
511,nationwide,2023-01,7.85,84.84,4.86,170475,4521,161620,4390,13654,682,10843,655,213952,5392,194547,5144
512,metropolitan,2023-01,7.37,85.54,4.69,184336,4988,173598,4837,14374,722,11407,690,229346,5915,207586,5642
513,province,2023-01,9.86,81.96,5.59,113188,2588,112117,2543,10677,514,8513,507,150329,3234,140659,3090
514,seoul,2023-01,6.95,84.16,4.35,207653,6252,198517,6181,15833,793,12876,763,261959,7507,244302,7248
515,seoul-downtown,2023-01,5.97,81.25,4.26,246221,6659,238098,6339,13965,972,13701,928,321282,8354,316900,7929
516,seoul-northeastern,2023-01,7.74,85.25,5.04,141789,4953,139290,4794,11080,625,11519,620,168255,5777,164114,5392
517,seoul-northwestern,2023-01,6.66,85.64,4.59,191506,6520,185678,6374,11948,782,11474,724,235170,7560,210449,7216
518,seoul-southwestern,2023-01,7.9,87.01,4.29,198617,6063,188823,6075,20087,704,13675,678,246467,7017,228271,6990
519,seoul-southeastern,2023-01,5.74,80.03,3.98,247972,6905,234453,6888,14932,944,12859,912,323170,8740,298164,8328
520,busan,2023-01,10.64,80.35,5.49,119442,2665,118769,2612,11762,540,9058,527,165322,3427,153471,3243
521,daegu,2023-01,8.26,84.58,5.27,109415,2897,108560,2847,8629,505,7107,502,130329,3415,124951,3315
522,incheon,2023-01,8.32,86.57,5.21,132121,2775,129631,2556,11303,561,11513,548,154264,3189,149728,2968
523,gwangju,2023-01,7.27,83.56,6.31,79556,1942,81051,1936,6381,420,5528,426,96954,2320,92553,2206
524,daejeon,2023-01,10.61,85.72,7.04,92619,1934,86352,1859,10061,462,9574,468,114677,2286,104232,2149
525,ulsan,2023-01,8.13,83.79,4.4,128975,2650,128216,2670,10856,480,8705,481,156312,3155,154756,3245
526,sejong,2023-01,4.6,92.82,5.4,90385,3362,86676,3395,4198,415,4198,412,97692,3622,94062,3648
527,gyeonggi,2023-01,7.51,86.79,4.91,175224,4281,159764,4059,13736,696,9659,655,217311,5002,184807,4694
528,nationwide,2023-02,7.83,84.85,4.88,169710,4503,160936,4371,13496,683,10796,657,213041,5372,193447,5135
529,metropolitan,2023-02,7.32,85.53,4.71,183520,4969,172946,4815,14178,724,11348,693,228414,5893,206445,5634
530,province,2023-02,9.89,82.02,5.61,112634,2577,111300,2538,10677,514,8513,507,149505,3219,139724,3070
531,seoul,2023-02,6.97,84.11,4.36,207010,6231,197855,6155,15754,793,12876,762,261338,7487,243343,7239
532,seoul-downtown,2023-02,5.98,81.29,4.27,245713,6646,237653,6315,13965,972,13701,928,320858,8341,317085,7927
533,seoul-northeastern,2023-02,7.78,85.06,5.06,141085,4923,138906,4756,11080,625,11519,615,167665,5755,164100,5350
534,seoul-northwestern,2023-02,6.67,85.66,4.61,191278,6512,185588,6371,11950,782,11474,724,234837,7548,208683,7183
535,seoul-southwestern,2023-02,7.91,86.95,4.31,197558,6032,187541,6027,19872,704,13675,678,245378,6985,226196,6980
536,seoul-southeastern,2023-02,5.75,79.98,3.98,247684,6896,234153,6888,14932,945,12859,913,322968,8734,298228,8346
537,busan,2023-02,10.69,80.44,5.51,118864,2654,117700,2608,11762,540,9058,528,164336,3409,152328,3219
538,daegu,2023-02,8.3,84.53,5.28,108490,2880,108325,2840,8629,504,7107,502,129531,3397,124493,3294
539,incheon,2023-02,8.36,86.44,5.23,131355,2759,128585,2533,11303,561,11513,548,153664,3176,149061,2955
540,gwangju,2023-02,7.27,83.64,6.34,79264,1935,80482,1926,6362,420,5528,425,96506,2310,91815,2194
541,daejeon,2023-02,10.64,85.72,7.05,92281,1928,85787,1852,10061,461,9574,466,114370,2281,104012,2155
542,ulsan,2023-02,8.19,83.82,4.42,128537,2639,128194,2656,10864,480,8705,481,155742,3141,153678,3223
543,sejong,2023-02,4.6,92.8,5.41,90321,3359,86440,3395,4198,415,4198,413,97650,3620,94062,3643
544,gyeonggi,2023-02,7.38,86.87,4.94,174188,4262,159259,4042,13335,698,9511,664,215903,4974,183290,4691
545,nationwide,2023-03,7.85,84.84,4.9,168987,4486,160538,4346,13479,682,10841,657,212137,5351,192941,5112
546,metropolitan,2023-03,7.35,85.5,4.72,182709,4950,172534,4786,14161,723,11406,694,227464,5871,205976,5607
547,province,2023-03,9.89,82.1,5.63,112275,2570,110961,2527,10660,514,8508,506,148788,3205,139068,3065
548,seoul,2023-03,6.99,84.07,4.37,206364,6211,197522,6120,15770,794,12873,760,260662,7466,242984,7212
549,seoul-downtown,2023-03,5.98,81.3,4.27,245376,6641,238434,6303,13965,973,13701,930,320668,8336,317065,7930
550,seoul-northeastern,2023-03,7.81,84.99,5.08,140482,4906,138254,4753,11082,625,11526,614,167165,5739,162789,5350
551,seoul-northwestern,2023-03,6.67,85.7,4.61,190956,6501,185149,6356,11914,782,11447,724,234466,7532,207985,7162
552,seoul-southwestern,2023-03,7.95,86.88,4.33,196609,6003,187432,5959,19928,704,13675,672,244433,6957,226086,6944
553,seoul-southeastern,2023-03,5.76,79.95,4,247172,6879,233351,6862,14932,947,12859,913,322261,8713,298062,8305
554,busan,2023-03,10.73,80.52,5.53,118533,2647,117442,2595,11771,539,9058,527,163511,3394,151606,3216
555,daegu,2023-03,8.36,84.47,5.3,107842,2866,107655,2834,8629,503,7107,502,128952,3383,124236,3285
556,incheon,2023-03,8.39,86.33,5.24,130721,2743,127763,2516,11299,560,11513,548,153171,3165,148512,2938
557,gwangju,2023-03,7.27,83.67,6.35,78907,1927,79720,1915,6343,419,5472,425,95987,2299,91146,2188
558,daejeon,2023-03,10.21,85.97,7.08,92032,1923,85525,1846,9858,462,9574,465,113852,2269,103259,2138
559,ulsan,2023-03,8.21,83.92,4.44,128187,2633,127868,2654,10806,480,8683,480,155223,3130,152891,3210
560,sejong,2023-03,4.61,92.77,5.41,90150,3353,86412,3395,4198,415,4198,413,97492,3614,94269,3648
561,gyeonggi,2023-03,7.41,86.88,4.95,173123,4242,158897,4017,13276,698,9659,667,214475,4947,182721,4660
562,nationwide,2023-04,7.88,84.76,4.92,168442,4477,160127,4340,13502,683,10841,655,211571,5345,192889,5098
563,metropolitan,2023-04,7.39,85.4,4.74,182157,4940,172140,4781,14198,724,11406,691,226930,5866,206018,5604
564,province,2023-04,9.88,82.14,5.65,111755,2560,110476,2520,10624,514,8508,507,148090,3191,138625,3006
565,seoul,2023-04,7.03,83.94,4.38,206217,6215,197573,6138,15832,795,12873,761,260780,7480,243668,7237
566,seoul-downtown,2023-04,5.9,81.26,4.21,247936,6711,243588,6534,13950,976,13701,948,323486,8414,321664,8102
567,seoul-northeastern,2023-04,7.84,84.94,5.09,139974,4888,137841,4747,11091,624,11526,614,166727,5725,162341,5372
568,seoul-northwestern,2023-04,6.63,85.65,4.62,192479,6637,185149,6380,11929,791,11447,724,236209,7682,212163,7254
569,seoul-southwestern,2023-04,8.06,86.77,4.35,195703,5974,186510,5956,20090,704,13675,671,243586,6932,225820,6913
570,seoul-southeastern,2023-04,5.78,79.71,4.01,246539,6852,233254,6847,14932,948,12859,913,322300,8706,297650,8328
571,busan,2023-04,10.69,80.59,5.56,117958,2638,116899,2590,11712,539,9058,528,162671,3378,151223,3129
572,daegu,2023-04,8.4,84.52,5.32,107280,2854,107556,2825,8629,503,7107,502,128394,3367,123645,3282
573,incheon,2023-04,8.43,86.32,5.25,130052,2731,126577,2512,11301,559,11513,548,152374,3151,148130,2926
574,gwangju,2023-04,7.3,83.66,6.37,78488,1918,79138,1906,6321,418,5472,423,95491,2287,90802,2179
575,daejeon,2023-04,10.25,85.82,7.09,91753,1915,85199,1831,9858,461,9574,466,113667,2264,102676,2138
576,ulsan,2023-04,8.3,83.95,4.46,127736,2624,127075,2652,10874,480,8683,479,154673,3118,152172,3201
577,sejong,2023-04,4.62,92.79,5.43,90007,3348,86412,3387,4198,416,4198,413,97307,3607,93798,3627
578,gyeonggi,2023-04,7.45,86.78,4.98,172142,4219,158260,3983,13295,698,9659,658,213272,4924,182162,4628
579,nationwide,2023-05,7.91,84.66,4.93,167831,4461,159511,4330,13525,683,10836,655,210960,5332,192424,5089
580,metropolitan,2023-05,7.43,85.27,4.75,181511,4924,171465,4769,14229,724,11404,691,226306,5853,205471,5596
581,province,2023-05,9.91,82.15,5.68,111291,2551,110101,2516,10616,513,8490,506,147532,3179,138504,2991
582,seoul,2023-05,7.05,83.85,4.39,205817,6200,197011,6120,15830,796,12873,761,260488,7470,243142,7230
583,seoul-downtown,2023-05,5.91,81.1,4.21,247496,6696,240255,6498,13942,977,13701,942,323300,8409,321158,8076
584,seoul-northeastern,2023-05,7.86,84.88,5.11,139700,4876,137744,4725,11091,625,11526,616,166418,5711,162788,5330
585,seoul-northwestern,2023-05,6.64,85.75,4.63,192364,6632,185149,6380,11929,791,11447,724,235902,7669,211800,7254
586,seoul-southwestern,2023-05,8.09,86.66,4.36,195287,5958,186496,5935,20085,704,13675,671,243204,6921,225868,6912
587,seoul-southeastern,2023-05,5.79,79.55,4.02,245979,6835,232389,6832,14932,950,12859,913,322109,8699,295767,8331
588,busan,2023-05,10.72,80.64,5.58,117474,2628,116424,2587,11702,539,9058,526,162030,3366,151140,3112
589,daegu,2023-05,8.43,84.49,5.35,106637,2840,107238,2822,8629,503,7107,502,127850,3353,123104,3276
590,incheon,2023-05,8.54,86.14,5.28,128852,2708,125164,2501,11390,558,11497,547,151366,3131,147823,2927
591,gwangju,2023-05,7.33,83.62,6.38,78121,1909,78976,1898,6307,417,5472,423,95073,2278,90477,2164
592,daejeon,2023-05,10.29,85.71,7.13,91458,1908,85118,1831,9858,462,9574,469,113379,2259,102966,2133
593,ulsan,2023-05,8.34,83.87,4.47,127369,2616,126877,2631,10857,480,8412,480,154371,3110,152172,3177
594,sejong,2023-05,4.63,92.88,5.46,89778,3339,86384,3387,4198,416,4198,414,96928,3594,93298,3606
595,gyeonggi,2023-05,7.5,86.62,4.99,171399,4203,157709,3980,13346,698,9659,658,212393,4911,181506,4616
596,nationwide,2023-06,7.96,84.62,4.95,167386,4450,159164,4320,13650,683,10836,655,210522,5320,191887,5084
597,metropolitan,2023-06,7.48,85.22,4.77,181098,4912,171123,4760,14387,724,11404,691,225922,5841,204922,5591
598,province,2023-06,9.93,82.15,5.7,110714,2540,109735,2502,10603,513,8486,505,146874,3167,138016,2986
599,seoul,2023-06,7.06,83.8,4.4,205462,6188,196485,6099,15830,797,12873,761,260181,7458,242550,7224
600,seoul-downtown,2023-06,5.92,81.06,4.22,247096,6686,239583,6498,13940,977,13701,941,323012,8400,319848,8019
601,seoul-northeastern,2023-06,7.88,84.76,5.12,139427,4865,137219,4687,11099,625,11526,616,166228,5703,162482,5330
602,seoul-northwestern,2023-06,6.65,85.78,4.64,192222,6625,185109,6352,11929,791,11447,722,235692,7658,211760,7254
603,seoul-southwestern,2023-06,8.1,86.62,4.37,194948,5945,185822,5908,20083,704,13675,670,242874,6909,225287,6909
604,seoul-southeastern,2023-06,5.81,79.49,4.03,245476,6818,231884,6825,14932,951,12859,915,321722,8685,294999,8334
605,busan,2023-06,10.74,80.68,5.61,116806,2618,116056,2568,11703,538,9058,526,161205,3353,150515,3107
606,daegu,2023-06,8.4,84.35,5.37,105878,2821,106532,2806,8508,503,7107,502,127239,3337,122836,3259
607,incheon,2023-06,8.57,86.18,5.31,128206,2695,124825,2498,11390,558,11497,547,150688,3115,147211,2920
608,gwangju,2023-06,7.35,83.56,6.39,77808,1903,78394,1889,6293,417,5416,420,94726,2272,90164,2160
609,daejeon,2023-06,10.31,85.75,7.15,91465,1906,85280,1826,9858,462,9574,465,113350,2256,102909,2131
610,ulsan,2023-06,8.38,83.8,4.48,126871,2607,126691,2637,10864,480,8412,480,154014,3104,151869,3183
611,sejong,2023-06,4.65,92.8,5.49,89464,3326,85884,3387,4198,417,4198,415,96664,3583,93034,3606
612,gyeonggi,2023-06,7.6,86.55,5.01,171000,4191,157580,3982,13742,697,9659,659,212021,4900,181029,4612
613,nationwide,2023-07,7.96,84.62,4.96,167203,4445,158826,4313,13643,683,10834,654,210266,5313,191596,5072
614,metropolitan,2023-07,7.49,85.23,4.78,180953,4907,170767,4752,14392,725,11406,691,225726,5835,204774,5578
615,province,2023-07,9.89,82.11,5.72,110374,2532,109474,2498,10550,513,8472,504,146373,3157,137132,2982
616,seoul,2023-07,7.07,83.82,4.41,205390,6184,196361,6082,15828,797,12873,761,260029,7451,242498,7211
617,seoul-downtown,2023-07,5.92,81.04,4.23,246952,6681,240032,6496,13940,978,13701,942,322846,8393,319478,8018
618,seoul-northeastern,2023-07,7.88,84.84,5.13,139463,4866,136828,4686,11091,626,11526,616,166120,5698,162547,5309
619,seoul-northwestern,2023-07,6.65,85.79,4.65,192088,6619,184680,6338,11926,792,11447,724,235504,7651,211396,7253
620,seoul-southwestern,2023-07,8.11,86.64,4.37,194965,5943,185669,5885,20083,704,13675,671,242746,6904,225568,6878
621,seoul-southeastern,2023-07,5.82,79.49,4.04,245282,6811,231884,6800,14932,952,12859,915,321534,8675,294690,8341
622,busan,2023-07,10.67,80.64,5.63,116452,2609,115873,2565,11627,539,9058,523,160607,3341,149340,3103
623,daegu,2023-07,8.41,84.37,5.39,105472,2811,105891,2806,8508,503,7107,502,126787,3325,122480,3253
624,incheon,2023-07,8.58,86.2,5.33,127916,2690,124329,2502,11389,558,11513,546,150385,3108,147211,2900
625,gwangju,2023-07,7.36,83.52,6.41,77592,1898,78207,1886,6282,417,5416,419,94457,2267,89761,2160
626,daejeon,2023-07,10.33,85.63,7.18,91122,1898,84879,1816,9830,463,9402,464,113117,2250,102623,2127
627,ulsan,2023-07,8.39,83.82,4.5,126609,2603,126309,2637,10857,481,8412,482,153694,3098,151520,3179
628,sejong,2023-07,4.66,92.7,5.51,89228,3316,85884,3366,4198,418,4198,416,96507,3577,92798,3605
629,gyeonggi,2023-07,7.62,86.53,5.02,170819,4186,157002,3979,13756,697,9659,659,211810,4895,180717,4601
630,nationwide,2023-08,7.99,84.66,4.97,167127,4443,158724,4308,13658,684,10834,655,210090,5308,191332,5065
631,metropolitan,2023-08,7.5,85.26,4.79,180911,4906,170679,4748,14392,725,11406,691,225592,5831,204557,5571
632,province,2023-08,10.01,82.16,5.73,110158,2526,109313,2489,10627,512,8472,504,146020,3149,136671,2973
633,seoul,2023-08,7.06,83.86,4.41,205400,6185,196361,6084,15828,797,12873,762,259935,7448,242287,7226
634,seoul-downtown,2023-08,5.93,80.95,4.23,246763,6673,239389,6492,13940,978,13701,941,322980,8395,319445,8032
635,seoul-northeastern,2023-08,7.88,84.91,5.13,139462,4867,136399,4709,11091,626,11526,618,166037,5695,161969,5330
636,seoul-northwestern,2023-08,6.65,85.8,4.65,192108,6620,184667,6338,11926,792,11447,724,235471,7650,211500,7280
637,seoul-southwestern,2023-08,8.11,86.69,4.38,195027,5944,185985,5908,20083,705,13675,671,242751,6901,225476,6879
638,seoul-southeastern,2023-08,5.81,79.57,4.05,245288,6813,231897,6766,14932,952,12859,916,321197,8666,294295,8366
639,busan,2023-08,10.85,80.7,5.64,116208,2603,115718,2552,11748,537,9058,524,160229,3333,148769,3096
640,daegu,2023-08,8.43,84.51,5.42,105186,2803,105788,2806,8508,503,7107,502,126246,3310,122158,3243
641,incheon,2023-08,8.59,86.27,5.34,127824,2688,124126,2502,11389,559,11513,546,150164,3102,147187,2903
642,gwangju,2023-08,7.38,83.5,6.43,77403,1893,77794,1880,6275,417,5416,420,94220,2262,89289,2155
643,daejeon,2023-08,10.36,85.45,7.19,91140,1896,84946,1815,9830,464,9402,459,113074,2248,102570,2118
644,ulsan,2023-08,8.38,83.9,4.51,126434,2600,125921,2643,10841,481,8412,482,153343,3090,151420,3156
645,sejong,2023-08,4.67,92.83,5.54,89078,3310,85884,3366,4198,418,4198,417,96214,3565,92354,3584
646,gyeonggi,2023-08,7.63,86.55,5.03,170734,4184,156851,3969,13756,698,9659,659,211660,4890,180428,4564
647,nationwide,2023-09,7.99,84.71,4.98,167124,4442,158910,4313,13648,684,10834,655,209950,5304,191384,5056
648,metropolitan,2023-09,7.5,85.32,4.8,180957,4907,170929,4755,14383,726,11406,692,225501,5827,204698,5564
649,province,2023-09,10.01,82.17,5.75,109949,2521,109233,2488,10611,513,8472,504,145681,3142,136359,2955
650,seoul,2023-09,7.06,83.89,4.42,205457,6185,196834,6089,15829,798,12873,763,259931,7447,242615,7227
651,seoul-downtown,2023-09,5.93,80.87,4.23,246804,6674,239123,6492,13950,979,13701,944,323254,8402,320275,8032
652,seoul-northeastern,2023-09,7.88,84.97,5.13,139466,4866,136847,4696,11088,626,11526,617,165975,5693,162385,5350
653,seoul-northwestern,2023-09,6.65,85.78,4.65,192122,6619,184667,6318,11926,793,11447,724,235526,7652,211473,7281
654,seoul-southwestern,2023-09,8.1,86.69,4.38,195128,5947,186729,5907,20083,705,13675,672,242900,6903,225445,6884
655,seoul-southeastern,2023-09,5.81,79.67,4.05,245338,6813,232485,6802,14932,952,12859,917,320892,8658,295063,8351
656,busan,2023-09,10.84,80.74,5.65,116007,2598,115656,2551,11725,537,9058,523,159807,3323,148404,3070
657,daegu,2023-09,8.46,84.39,5.43,104823,2794,105859,2801,8508,503,7107,503,126022,3306,122009,3241
658,incheon,2023-09,8.59,86.37,5.37,127783,2686,124126,2500,11360,559,11513,547,149982,3097,147034,2903
659,gwangju,2023-09,7.41,83.47,6.46,77154,1887,77688,1879,6275,417,5416,423,93894,2255,88777,2142
660,daejeon,2023-09,10.37,85.47,7.21,91032,1893,84585,1807,9830,464,9402,460,113019,2246,102553,2121
661,ulsan,2023-09,8.37,83.92,4.53,126363,2598,125803,2643,10824,482,8412,484,153203,3087,151206,3154
662,sejong,2023-09,4.69,92.56,5.55,88743,3296,85827,3367,4198,418,4198,417,96107,3560,92090,3582
663,gyeonggi,2023-09,7.63,86.63,5.05,170799,4185,156928,3980,13744,700,9659,660,211498,4885,180451,4547
664,nationwide,2023-10,7.99,84.73,4.99,167030,4439,158853,4303,13644,685,10834,656,209728,5298,191200,5053
665,metropolitan,2023-10,7.5,85.34,4.81,180905,4904,170901,4746,14387,726,11406,692,225326,5822,204555,5562
666,province,2023-10,9.99,82.24,5.76,109684,2515,109058,2474,10576,513,8472,504,145261,3131,135999,2952
667,seoul,2023-10,7.07,83.92,4.42,205418,6182,196658,6078,15829,798,12873,763,259767,7440,242683,7222
668,seoul-downtown,2023-10,5.94,80.85,4.23,246684,6670,239645,6509,13950,980,13701,946,323210,8400,319979,8010
669,seoul-northeastern,2023-10,7.88,84.97,5.14,139411,4863,136431,4674,11088,627,11526,620,165950,5689,162800,5330
670,seoul-northwestern,2023-10,6.66,85.78,4.66,191978,6613,185031,6315,11926,793,11447,724,235289,7644,211888,7281
671,seoul-southwestern,2023-10,8.1,86.72,4.39,195162,5946,186729,5886,20083,706,13675,672,242820,6899,225506,6885
672,seoul-southeastern,2023-10,5.82,79.73,4.06,245283,6808,231703,6798,14932,952,12859,915,320535,8647,294925,8349
673,busan,2023-10,10.76,80.86,5.67,115774,2593,115418,2531,11640,537,9058,524,159354,3312,148042,3070
674,daegu,2023-10,8.49,84.32,5.46,104291,2779,105516,2798,8508,504,7107,503,125520,3292,121683,3226
675,incheon,2023-10,8.6,86.41,5.38,127653,2684,123973,2500,11357,560,11513,547,149715,3093,146499,2902
676,gwangju,2023-10,7.44,83.47,6.49,76911,1881,77563,1870,6276,417,5416,426,93571,2248,88626,2140
677,daejeon,2023-10,10.63,85.45,7.24,90845,1887,84871,1811,10073,464,9402,459,112660,2238,102252,2109
678,ulsan,2023-10,8.39,83.9,4.54,126079,2592,125825,2639,10823,482,8412,484,152980,3082,150522,3157
679,sejong,2023-10,4.7,92.45,5.56,88507,3286,85827,3366,4198,418,4198,417,95942,3554,91618,3571
680,gyeonggi,2023-10,7.64,86.62,5.06,170758,4183,157116,3969,13754,701,9659,660,211343,4881,180200,4547
681,nationwide,2023-11,7.85,84.8,5.01,166864,4434,158509,4305,13455,686,10834,656,209436,5288,190720,5034
682,metropolitan,2023-11,7.35,85.38,4.82,180749,4899,170520,4749,14166,728,11406,693,225063,5813,204058,5544
683,province,2023-11,9.94,82.41,5.79,109479,2510,108871,2470,10515,513,8472,504,144848,3119,135593,2930
684,seoul,2023-11,7.07,83.96,4.43,205230,6176,196185,6069,15828,798,12873,762,259485,7429,242265,7213
685,seoul-downtown,2023-11,5.94,80.85,4.24,246536,6664,239798,6490,13950,981,13701,946,323065,8395,320502,8002
686,seoul-northeastern,2023-11,7.88,85.09,5.15,139306,4859,136386,4661,11088,627,11526,620,165650,5676,162034,5310
687,seoul-northwestern,2023-11,6.66,85.84,4.66,191898,6610,184550,6327,11926,793,11447,724,235074,7635,211524,7282
688,seoul-southwestern,2023-11,8.11,86.74,4.4,195058,5941,186212,5885,20080,706,13675,672,242710,6892,225569,6889
689,seoul-southeastern,2023-11,5.83,79.77,4.06,244877,6799,230866,6772,14932,951,12859,912,319951,8628,293689,8322
690,busan,2023-11,10.68,81.07,5.7,115603,2589,115290,2528,11583,538,9058,523,158933,3300,147555,3037
691,daegu,2023-11,8.5,84.57,5.49,104000,2771,105194,2792,8508,503,7107,503,124872,3274,121513,3214
692,incheon,2023-11,8.62,86.38,5.39,127360,2677,123788,2492,11357,560,11513,547,149429,3086,146484,2891
693,gwangju,2023-11,7.48,83.44,6.52,76616,1874,77037,1867,6276,417,5416,424,93171,2239,88245,2137
694,daejeon,2023-11,10.56,85.46,7.26,90564,1884,84563,1809,9787,466,9402,464,112531,2236,102193,2118
695,ulsan,2023-11,8.41,83.96,4.56,125839,2586,125763,2633,10824,483,8412,484,152604,3072,149927,3150
696,sejong,2023-11,4.71,92.61,5.58,88400,3282,85827,3364,4198,419,4198,418,95699,3544,91618,3573
697,gyeonggi,2023-11,7.24,86.69,5.08,170686,4179,156772,3991,13202,704,9659,662,211110,4873,179443,4516
698,nationwide,2023-12,7.89,84.87,5.03,166688,4428,158361,4309,13472,687,10834,656,209111,5278,190545,5028
699,metropolitan,2023-12,7.37,85.45,4.84,180578,4894,170366,4754,14178,728,11406,693,224746,5803,203933,5534
